from,to,value
CNNIndonesia,keteklembab,1
RPanggaleh,ZainalAbdiAlam4,1
detikcom,kkuu_mma,1
4loeydive,kngnkmuu,1
BeritakanID_com,DediSat67265199,1
Badboy06864860,MARQUEZ__93,1
detikcom,suryanililik1,1
ChusnulCh__,kluxkluk,1
PHapsari36,PartaiSocmed,1
detikcom,penggabutansaja,1
catchmeupid,false10s,1
5757_day,_ekokuntadhi,1
PDI_Perjuangan,PDI_Perjuangan,3
moelyonho,tvOneNews,1
Frimawan,Venus41706626,1
Badboy06864860,okezonenews,1
ArabBara2,dabenone2,1
jawapos,marpaung913,1
rissech1,temponewsroom,1
DagelaneD,kangbaridin_,1
Mhd_aliradja77,tempodotco,1
MawarSolitaire,RizalSa19562574,1
marpaung913,merdekadotcom,1
Pandi82608468,geloraco,1
Paltiwest,marpaung913,1
dharyadi00,kumparan,1
Yogiherloly11,patramzen,1
SiMeongPuss,TJHoois,1
rytsarkiy_pika,tvOneNews,1
disfodan,sbyfess,1
Muria_nisa,jaksapedia,1
RZ_Otoriter,RZ_Otoriter,3
jaksapedia,likinjay,1
Abahozan1,susantisyafa,1
Lambehdower,temponewsroom,1
Tubagus_Khidir,detikcom,1
Prasetyo9Hh,h_susantoe,1
AnandoLikum,geloraco,1
BinHamzah8,bachrum_achmadi,1
petanirebahan,petanirebahan,2
Yulia_NS79,tukangaduayam,1
IrwanNkri,tvOneNews,1
adamantfriend,txtdrberseragam,2
LalaWiana,OposisiCerdas,1
don1_donald,txtdrberseragam,1
txtdigitalnomad,txtdigitalnomad,1
marpaung913,tempodotco,4
LolooleAndre,detikcom,1
Miduk17,nustya88,1
agattawin,nattadamile,1
dennybiantoro,ratids,1
NarasiNewsroom,teguhsupriyatno,1
RizalSa19562574,mr_banan12,1
Miduk17,tuah_kurni,1
SesuatuJogja,tvOneNews,1
LalaWiana,tempodotco,1
nayaraAtma,tempodotco,1
kumparanplus,kumparanplus,3
RiyadiRizk,RiyadiRizk,1
Syarman59,Syarman59,1
SmgMenfess2,vaclavalva,1
VIVAcoid,a_doni95,1
Dennysiregar7,SaPulau,1
D14BL0_i7,suhardi1110,1
CNNIndonesia,hanifaaaahhhh,1
IRistopo,Pai_C1AB,1
a_doni95,detikcom,1
AgathaNadira,UrutJakartan,1
dabenone2,democrazymedia,1
UrutJakartan,UrutJakartan,1
idextratime,yaaelahryy,1
kacangmethe,urcoldocean,1
Miduk17,snmblex,1
aishakinaaa,i_ervans,1
Prasetyo9Hh,geloraco,4
republikaonline,sugairum,1
dhimasnf,rikodwi_hard,1
Moshewd1,txtdrberseragam,1
Gandawan,geloraco,1
gs_juge,tommy_shellby_,1
PutraJayaHusin,karay_yasin,1
Odyssiawin,winflowx,1
kemalpalevi,richa_achmad89,1
DewiEmeline2,inong911,2
FatihGaleh,cyblit,1
AAldhiaz,democrazymedia,1
AndyHuskyyy,dntkntngg,1
_ekokuntadhi,rohadi_fauzi,1
Dennysiregar7,Joe_Richardo93,1
Paijo33295845,tvOneNews,1
alikaptrs,rismayeuu,1
devonscreenagee,theIawless,1
FatihGaleh,korantempo,1
FatihGaleh,rahmasarita,1
HerrySuryya,ListyoSigitP,1
Camelaila1,Ferdysambo1,1
IphanqSukri,_ekokuntadhi,1
gatauapadehh,zetsuboujin,1
DwiNindra_,kemalpalevi,1
andikira_,nightonvenus,1
HarrisRegar,kr1t1kp3d45_pro,1
Ngelmuco,Ngelmuco,3
aviation603,tvOneNews,1
Midjan_La_2,benzgabriel,1
hanantheengine,icaaciicu,1
miekaritelor,tanyakanrl,1
ConanDimdimpil,wsn04,1
kentomiyauraaa,txtdrberseragam,1
KPK_RI,muhamma32203580,1
cbroflle,mlekidut,1
ain0088,detikcom,1
Martinellistis,farizabg_,1
Anna82662230,_____kingAJ,1
Syarman59,sondanuuu,1
Ayam_tehsysy24j,Dennysiregar7,1
Gengmotor15,bobastretch,1
KagoyaSilas,KagoyaSilas,4
AmaksiGulf,kdrama_menfess,1
Ardysu3,Miduk17,1
SmarniSri,jek_uncle,1
keuangannews_id,xifenghoetang,1
AlMaidah_54,republikaonline,1
alvinlie21,ych_man,1
MNW_MNW_MNW,karyawantree,1
